"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0784313755902","18.6486486682331","12.1298405451924","3.96140172360629","7.96287173232642","5.88235395341866","7.30769324531406","8.20390129312089","2.54
"Africa Eastern and Southern","AFE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","0.46873634773543","7.86970873690956","5.62237369942385","4.69045807903838","5.15957370569078","4.82275414343354","5.37350153757311","4.15370975789639","5.09073094861398","1.13178963932057","5.47862520745213","2.7
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.4319740700862","28.6000011706788","8.83227780288267","1.41411799339429","11.2297148272859","5.35740324748
"Africa Western and Central","AFW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.87305406216578","3.71277673428121","7.11196790337776","5.41394293402104","4.12085478536667","-1.51770514080505","-9.04361966395031","1.56710302381865","15.2201558318751","17.5084805084985","10.5405953221293","3.
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.40000121865044","0","4.20000142853745","6.00000216509061","3.49999949008624","2.90000174246859","4.08274863510718","6.12889047765088","0.0416214618374653","-3.45009868500
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563529228122","2.94859680118948","1.10493826195044","-1.25159664405811","1.78064395924903","5.63724317852112","-0.787842654927246","-1.42003965566391","9.83654897187228
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946535556467","8.14974352749283","7.78846724532318","5.61878962739297","0.54220566972954","3.30378705328451","2.83857556906837","1.46300016981581","0.0415572233591206","2.20872761148199","-0.1324744
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","6.77277839247428","10.8010731446512","7.46378927474049","22.7553885195642","7.44242129318475","13.9200390240344","13.2591913780069","10.4802368097488","0.000931632455206","14.3129164190686","6.61973417575612","2
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","36.612377853309","39.0796375886666","76.6201550367608","14.4980412677649","6.22740138862785","16.52685650611","21.4393301703121","-1.58960331985861","20.9235730768488","23.8747749106529","4
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287621933","-0.852021521903339","-5.30819682539126","10.1302976615431","10.5694333376394","-0.659726170629824","3.19199662339177","4.82250077932424","9.67952601078326","3.04564331917115","5.65813108184925","1.62841651825939
"Armenia","ARM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.699998482027","-41.8000027457562","-8.7999987932935","5.40000277917656","6.89999841973659","5.86540074943565","3.32107970046953","7.299999
"American Samoa","ASM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.965517241379317","0.409836065573771","-0.408163265306129","-4.09836065573771","1.85185185185186",
"Antigua and Barbuda","ATG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","4.38347107438017","8.08027796880091","8.16100999614888","3.81519265600569","-0.0842510233144225","5.36377882247594","10.165158146716","7.64379528257612","11.494197956295
"Australia","AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.48233047098947","1.29422099669962","6.21617959257419","6.98016602027624","5.98014040053107","2.37900553867696","6.30487825728025","5.093706274426","7.0452741832873","7.17569474653776","4.0005792969926","3.9104527931282","2.61959
"Austria","AUT","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.53797931684524","2.6486751129527","4.13826758157036","6.12435373762845","3.48017491799556","5.64286141093278","3.00804779775507","4.47231278246025","6.27586716607004","7.12287550213442","5.11496855357541","6.2078611051551","4.8904
"Azerbaijan","AZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.700000175699572","-22.6000003264444","-23.0999987188387","-19.7000012399238","-11.7999991076818","1.29999940463827","5.80000014795783","
"Burundi","BDI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.7461350539839","9.06315793386563","4.13540742185575","6.27303790087062","3.96722560928015","4.61299289557684","13.8215186020874","-0.297883673472171","-1.45954114245622","21.3256707328654","2.74682871213831","-6.40396492407875",
"Belgium","BEL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.9784230631921","5.21200350925506","4.35158428167072","6.95668473344055","3.56065983986097","3.15589498173389","3.86814694690092","4.19412962494745","6.62979979529474","6.35267211404241","3.98582731151862","5.29560423026356","6.381
"Benin","BEN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.14128045641213","-3.42640982098587","4.7300279709188","6.65075912824808","5.29386282871174","3.57586273248711","1.07839866664565","3.84233563459493","2.87749797403703","2.09775758051059","-1.4968418264467","6.4263675448305","3.70616
"Burkina Faso","BFA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.04392797754925","6.12879878024506","-1.26801637269189","2.28281922375837","3.76454538063129","0.537613083660716","8.82331497485367","3.07077393782897","2.02608104052698","0.117019610679606","1.4133398815319","2.31149874156277
"Bangladesh","BGD","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","6.05816082547616","5.45303096987814","-0.455894289969805","10.9527885460584","1.60625822892978","2.56681200128088","-1.8758639196746","9.48945401549118","1.22085790908322","5.61985229282153","-5.47948302722807","-13.9737287020561
"Bulgaria","BGR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","4.9001618599853","2.3345655917154","3.43030591387084","3.3964436219225","2.68344074070694","4.20760200326254","6.05451383874338","10.9446920643057","-3.28988206824971","-9
"Bahrain","BHR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","1.60714285546935","11.0720562276677","13.9240506555534","8.47222224387403","-8.83482715024641","30.476297435675","13.0176496171974","3.8622685992858","3.46926802729132","2.58027926574829","-5.3166973528
"Bahamas, The","BHS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","10.6670974062853","10.4519718914791","10.524055218681","10.5015672000336","10.4255964611444","9.07192872047429","9.59811387222918","8.42176356182298","8.98166256974302","-5.64964950396579","1.62650874068258","-3.49733593905746"
"Bosnia and Herzegovina","BIH","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.34802499922","-6.43690771039324","-2.1813484904898","11.1319654858782","15.9683009584783","54.1993001671129","36.64112846703
"Belarus","BLR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.19999562750375","-9.60000128974481","-7.60000189914324","-11.7000038354787","-10.4000005284964","2.80000462766887","11.4000054580737","8.39
"Belize","BLZ","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.89227701008051","4.89265226468763","4.95643417667813","4.99987981197741","4.93054100754495","4.77084518419552","4.91312320896799","7.36722545020247","5.1063747050941","4.80769339437559","3.95944112009168","10.2183037621063","5.3518
"Bermuda","BMU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.67999996713304","4.47000004808878","1.06999999436341","11.1099999875701","4.76000001552437","14.3636363323149","13.2750397766514","2.10526314278347","3.43642611734707","6.31229233824516","3.43750002134429","1.81268880897692","1.48
"Bolivia","BOL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.08929594236781","5.57891786210295","6.79762576905429","3.95659653084567","4.91344195525978","7.17058966306621","6.31721951733537","8.52944308831111","4.47409732886864","5.23102930423347","5.06333643861971","7.967485209709","5.7391
"Brazil","BRA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","8.60000000000014","6.59999999999992","0.600000000000065","3.39999999999985","2.40000000000001","6.7000000000001","4.2","9.79999999999998","9.49999999999993","10.4","11.3429219931908","11.9403481162508","13.9687217796782","8.153938684
"Barbados","BRB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","7.6965298006354","9.06075860946085","-5.07842107998042","5.00487575497696","11.4348434925181","4.00337124242267","10.6361361469399","6.92182132881096","7.51840479457447","9.5094029913739","3.912722439334","1.27380067229437","1.3407
"Brunei Darussalam","BRN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","-0.645291579006951","20.8741398285027","9.93403484610029","7.01913426136178","24.3383886941687","-9.70796015870228","-22.3848239984139","2.30152997332975","0.399377358630829","-2.3
"Bhutan","BTN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","2.67710048691288","1.16325709813225","1.46708963632713","5.15826493134593","-3.30732069832554","8.95465028355598","7.90123454990548","7.12651195843857","4.79096734776185","5.0087361630323","15.1222948427
"Botswana","BWA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","6.34328369916236","6.66666783376763","5.92104509011995","6.83230092114646","5.81395506087105","6.34401910558493","5.92455993122056","10.5670565038251","15.1234047289021","17.120267669479","25.8211072044697","26.3619409491731","21.3
"Central African Republic","CAF","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.95355379797229","-3.71380018409685","-0.707010752236329","2.08032459940857","0.947578712256856","0.644783720237797","4.6766131089008","1.40411317693092","7.09154252763096","2.33288087679347","1.13020238405835","-0
"Canada","CAN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.16329168371286","7.42783693388429","5.29744024171539","6.65599974032362","6.31720020530724","6.75968985492175","3.06542082002188","5.00827408049702","5.06703244864089","2.91871324193951","4.01884493451227","5.51967006527914","6.728
"Central Europe and the Baltics","CEB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8715607324926","-4.93630600912893","0.209200867055756","3.68868814511475","5.71185865540853","4.48583106141973","2.
"Switzerland","CHE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","8.10867221090605","4.78994131635308","4.87919908861329","5.2563507861986","2.10455491544919","2.46145745672364","3.05592216743898","3.58802600373987","5.6329121225459","6.37740651942093","4.07544243672315","3.20050860717652","3.
"Channel Islands","CHI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.6066320695533","1.12504262460223","-5.7536617430689","0.493931288300132","
"Chile","CHL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.24527188446069","4.02668562348332","5.8401401399083","2.55722053849037","0.950272505285383","11.236242456379","3.61599985405201","3.59201332954133","3.93798328096847","1.82896697019414","9.4226862110563","-1.01994779412148","-5.0292
"China","CHN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-27.2700000038885","-5.57999999019671","10.2999999963989","18.1799999938203","16.9500000038703","10.6499999984172","-5.77000000405199","-4.09999998647747","16.9399999960612","19.2999999967024","7.0599999985365","3.81000000021972","7.7
"Cote d'Ivoire","CIV","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","9.93255515611813","1.22699449007209","14.490355865667","17.6130878299454","-3.10965427332918","11.5773596880237","4.59815178505383","12.5482486395257","9.53921877056503","10.3750318437426","9.45663766175453","4.23662501175109"
"Cameroon","CMR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.18368081101198","3.04155905079301","3.74255032074073","3.54715969490351","2.0260537150391","4.61495561904862","-10.9120655887773","6.34632385376702","4.90147952428066","3.09206823386914","3.47970781665525","2.67384329318293","5.3
"Congo, Dem. Rep.","COD","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-10.8513760836337","21.2006975148133","5.213990134349","-2.44022356449149","0.997348793527436","6.77548530172186","-0.985738661487957","4.33269846401917","9.3288374385548","-0.245056575086281","6.00501806737557","0.15113551
"Congo, Rep.","COG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","8.35072672427799","5.20230878797427","-4.02930039798804","3.81679626842326","3.67646773649125","1.35898246232004","2.11627205671408","7.63132623875093","7.54852519466465","6.35847018696658","7.75303585308524","8.61755084484118",
"Colombia","COL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.08921698439107","5.41188961342047","3.28670755407101","6.16694132350723","3.60001138983772","5.23673586229452","4.13486416579858","5.93311799878289","6.10251730873333","6.20779696127698","5.9607279462907","7.66914754440097","6.72
"Comoros","COM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.86492895691175","6.3833170098831","4.82140188312658","4.11029998859358","2.2799607772245","1.86761216652651","1.63778418052955","2.68737940417255","-3.18025651617585","5.
"Cabo Verde","CPV","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","8.45156240751683","2.82503008527617","9.52074975154451","3.78327068402049","8.64208661528207","2.87145542241004","4.30906373191068","5.99685491429432","5.69794936616317"
"Costa Rica","CRI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.8792765563641","5.44239137528237","6.89892344200918","3.65904831414015","8.1905275942481","6.96931903096743","5.65012592038407","8.47330434699462","5.4917999425584","7.50313434335064","6.77850542642193","8.17804513351518","7.70
"Caribbean small states","CSS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","7.38699393186913","6.76506591429495","0.483418278871397","8.4557322507069","10.6212054375269","8.43626937602839","8.87491089178447","6.58470256681558","7.37748222326604","1.33036988086847","2.90604634528191","-1.07940
"Cuba","CUB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","8.58385901163629","4.82668584313927","3.43448853582437","0.984491815760862","9.47642606915934","5.4279604586732","8.7095028615293","6.59599856337493","1.08818330173155","-4.84944295088555","19.688334333744
"Curacao","CUW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.695753704098053","0.397065216763636","0.288186681651752","0.208461073109362","0.676425345201665","1.635934689
"Cayman Islands","CYM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16262522652799","-0.357401201092983","-7.20048244664706","-2.71563526217577","1.16906
"Cyprus","CYP","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","20.2662921730547","16.3620009518904","7.77740335290356","9.90556937510574","5.7532446998904","2.51699845757436","6.02170898668292","5.5821816938976","8.75789438628421","4.88254076277863","
"Czechia","CZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6149423495458","-0.506542342811386","0.0619042232778071","2.90930948518321","6.22140598076074","4.16858427623639","-0.595838399478666","-0
"Germany","DEU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.29843956416367","4.62347095715671","2.73529640413565","6.63946990966846","5.24416405342649","2.81218127523948","-0.330256485487851","5.6687730597093","7.41810275269859","5.10314454468531","3.13269976370883","4.30034129666814","4.7
"Djibouti","DJI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06154324233921","7.52610891881017","7.1234323372872","5.458091517212",
"Dominica","DMA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","10.5357457303524","-18.3592854062592","13.3831821469051","10.829331110484","4.12768352803023","2.55631790150642","4.19664686909998","1.4209331622796","7.07335660054757","6.30756102
"Denmark","DNK","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","6.37883247557384","5.66682217271794","0.637021234202351","9.26993821451801","4.55525481407106","2.74091010903234","5.88623123708423","5.85299730027499","6.7991204970002","1.85600177862","3.1778216426269","3.79759815432928","4.719492
"Dominican Republic","DOM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-2.31324874995225","17.0472409333001","6.50290263397363","6.76486511640712","-12.4818339161577","13.4633448325871","3.32754228723306","0.238860484696104","10.8914458307793","18.2266828796501","10.8714660681825","10.394164
"Algeria","DZA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.6054413245993","-19.6850418256566","34.3137287803281","5.83941300772857","6.20689821107077","-4.80497094328264","9.45296256280155","10.7962385711022","8.4332802824936","8.86265711007658","-11.3317191682878","27.423969480425","3.
"East Asia & Pacific (excluding high income)","EAP","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.3282852326933","-0.640292703302507","6.43942142645639","10.7848472660289","10.7817984719634","8.00227381713654","-1.42057038572484","1.77361448148471","11.3845160873324","13.4416904941666","6.
"Early-demographic dividend","EAR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.789235158317","4.02545375593917","5.3167911270605","8.35274333654338","6.15812894263419","4.33802755337666","5.66373287632713","7.2268620540507","6.73888429517019","8.37981991501735","5.43181007947938","6.788231
"East Asia & Pacific","EAS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.83722221884879","5.44986417796001","7.76387934577861","10.3969479509939","6.96995244674459","8.60752189764769","7.34677664126274","9.32629954003166","11.4757743696969","3.89111268041817","5.27923049110117","7.162530415
"Europe & Central Asia (excluding high income)","ECA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29509933908889","1.24212369565187","2.75734405386603","-4.68636854847804","-4.72245555441245","-2.0511967016583
"Europe & Central Asia","ECS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.17878245868306","4.70482189560035","4.86959737099282","5.83269787213447","4.45736408975547","3.80585097928541","3.4628410114824","5.40699245011666","5.95464749029153","5.00023709303336","3.72514013191451","4.67465246
"Ecuador","ECU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.12441487887448","4.91914694399127","2.10636824719379","7.40724535940373","3.27508248987445","-0.33952563927852","4.62107394346161","1.90943839737609","4.66923798208919","6.87192932488124","6.29260619739669","5.01764070581541","13.
"Egypt, Arab Rep.","EGY","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.16111414342448","3.87561672369634","10.5180926173666","11.5075774740325","4.91404229223662","5.04640371248233","0.805264127039209","-1.60679234956356","5.27951751357089","5.59851503851672","4.05734632653112","3.0556806251
"Euro area","EMU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.71592492045608","5.76237297276354","4.89263804175357","5.83511177118675","5.03894376875718","4.39708226284678","3.4591349064688","5.66094440133386","7.1345746302526","5.60877832461142","3.76359579970263","4.89804821322839","6.20
"Eritrea","ERI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4547625007102","21.2214111876814","2.8583790589487","9.25883856340832","7.90868457794079","1.77258309100318","0.0134800959108077","-3
"Spain","ESP","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","11.8386741948325","9.95343810301794","9.5964988741982","5.30851024557097","6.25313489898538","7.24606030950699","4.3403384170755","6.59702013758327","8.90701555527089","4.24497076715369","4.64947343764193","8.14974596246567","7.788465
"Estonia","EST","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.99984359444019","-21.1686562081083","-5.74049422033957","-1.64242462249848","4.52668179218792","4.94301778598106","13.0500097186557","4.339
"Ethiopia","ETH","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","4.32609133566719","4.51863392606089","4.09048561145366","5.77193201592007","7.25659803697323","4.06158788001318","4.14218784379459","1.38865740774854","3.48272874063258","6.5264761637235","4.22715958999223","5.10986950748801","3
"European Union","EUU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.72567473415062","5.69572908096376","4.79687471696062","5.96343364802243","5.2409738071848","4.27982236218611","3.56237064787157","5.57238347504456","7.03395433974016","5.52939611521464","3.65623721690744","4.77599422184203"
"Fragile and conflict affected situations","FCS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-0.178687888097599","7.89280743235274","6.47684096604873","5.21377843229331","6.32587699228873","0.874733054092317","-5.78086136678996","6.21730309035983","13.07262633618","12.2291383916885","7.64855
"Finland","FIN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","7.60467047924422","2.98194553610331","3.28509963570332","5.23868659789346","5.30285780228274","2.37282301528174","2.16882888287398","2.30328998355674","9.59328778480042","7.47043264445782","2.3569188982372","7.73548619457567","6.983
"Fiji","FJI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.51758199167951","3.60610217922459","6.35877194090919","4.87728074374556","-2.70026693997212","0","13.3518282945216","7.91622158052895","2.59641050832784","12.7027111303007","6.88898664332811","7.48527669636235","11.612868489007","2.6
"France","FRA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.80383181443094","6.87169883519508","6.19863484213177","6.42586537928476","4.80791819880264","5.210182982788","4.89635776227404","4.45045710031462","7.11314872350634","6.20032856975085","5.33059874177668","4.53737445384859","6.60998
"Faroe Islands","FRO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.55329824103478","-0.379817991218616","3.56636317884431","7.08148344487884","5.8
"Micronesia, Fed. Sts.","FSM","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","2.30157453484256","1.06691546739161","33.9300078411577","15.3272774471001","0.0742880925754577","0.35632318115853","2.4262143303918","5.64020918447967","2.11922371015503","-7.1964111882130
"Gabon","GAB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","14.7668431868332","7.44921159688671","6.09243528403599","4.55445363440386","8.33333566041171","4.50800456670004","4.11515285426293","2.50880088058756","8.08291043381715","8.67934217556071","10.2587309116899","11.3369706830662","10.182
"United Kingdom","GBR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.70131412786594","1.09869614695408","4.85954532830446","5.59481107154178","2.13033296985384","1.56744975796417","2.77573770930934","5.47269288959338","1.93913785964371","2.70858146236598","3.50471745311494","4.32166756962231
"Georgia","GEO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.86594070054342","5.11301649671694","4.20187909672116","5.42958764979342","10.5586366152245","7.53566314896325","6.25308215800375","4.45558340295182","4.7765040433662","12.0520758237564","2.47133179427014","2.83646033387501","6.482
"Ghana","GHA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.42967401462874","4.10915860625774","4.40597419943647","2.20932750184639","1.36899886970954","-4.25829036972007","3.07536405007809","0.368860328659636","6.00617496624768","9.72347258708628","5.2161245570606","-2.48765540214929","2.88
"Gibraltar","GIB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",                                          
"Guinea","GIN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","5.36581840766522","2.31517953300373","1.567286805691","5.25022118210843","2.87692057391091","7.92336831492435","-3.35306984404892","6.79626447493203","-1.2078607444173","2.60138796577117","0.609737155239
"Gambia, The","GMB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","0","9.57614347228663","2.43552288111326","6.15384657262285","-0.0658770394050947","0.241704785011237","9.25032925345546","5.87879361029783","12.3934290906923","7.35122573247521","3.43957605958968","6.3164463097
"Guinea-Bissau","GNB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","-3.91096745830764","6.37486089368753","1.10989279037214","4.55924104815846","7.84558431997402","4.94345530491698","-7.17006997088463","13.1260433802209","1.99414436256637","-15.9526514986135","18.
